Name,Description,Price1,Price2,Image
Lechuga,Lechuga Costina Unidad,$750,$ Precio x Un : $750,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/7323a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Espinaca Bolsa,$1.890,$ Precio x Kg : $9.450,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/7879a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Diente de Dragón,Diente de Dragón,$950,$ Precio x Kg : $3.800,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328236a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Repollo Blanco 300 g,$1.490,$ Precio x Kg : $4.967,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/325808a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Ensalada Cuatro Colores 500 g,$1.190,$ Precio x Kg : $2.380,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997571a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Ensalada Lechuga Escarola,$1.290,$ Precio x Kg : $4.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/957913a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Ensalada Apio Varitas,$1.890,$ Precio x Kg : $6.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/957979a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Espinaca,Espinaca Baby Pote,$2.750,$ Precio x Kg : $19.643,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/484803a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Dole,Ensalada Zanahoria Juliana 600 g,$1.190,$ Precio x Kg : $1.983,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997565a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Ensalada Espinaca Picada 350 g,$1.190,$ Precio x Kg : $3.400,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997577a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Palta,Palta Hass Malla,$3.490,$ Precio x Kg : $3.490,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3725a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Plátano,Plátano Granel,$1.050,Precio x Kg:$1.050,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/861623a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Papas,Papas Malla,$2.050,$ Precio x Kg : $1.025,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3821a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Tomates,Tomates Quillota Granel,$1.290,Precio x Kg:$1.290,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/327604a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
