Name,Description,Price1,Price2,Image
Lider,Leche Descremada Natural Caja,$760,$ Precio x L : $760,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3095a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Leche Semidescremada Natural Caja,$760,$ Precio x L : $760,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/5797a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Leche Entera Natural Caja,$760,$ Precio x L : $760,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3091a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Nescafé,Café Tradición,$3.590,$ Precio x Kg : $23.933,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/502298a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Huggies,Toallitas Húmedas One Done,$1.190,$ Precio x Un : $25,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/772506a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mizos,Galleta de Arroz Mizos Chocolate,$380,$ Precio x Kg : $19.000,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/561960a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Nescafé,Café Dolca Tarro,$2.590,$ Precio x Kg : $15.235,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/5867a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Nestlé,Cereal Chocapic Caja,$1.690,$ Precio x Kg : $4.225,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/630934a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Costina Unidad,$750,$ Precio x Un : $750,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/7323a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Not Mayo,Mayonesa Not Mayo Original,$2.190,$ Precio x Kg : $6.257,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/963467a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Your Goal,Barra de Proteína Chocolate Crispis Caja,$5.150,$ Precio x Kg : $24.524,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/699600a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Nescafé,Café Instantáneo Descafeinado Frasco,$1.650,$ Precio x Kg : $33.000,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/300827a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sandisk,Pack 3 Pendrive 16 GB,$9.990,$ Precio x Un : $9.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/905814a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Hasbro Gaming,Juego de interior Twister,$12.990,$ Precio x Un : $12.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/355145a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Epson,Multifuncional Ecotank L3110,$129.990,$ Precio x Un : $129.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/968081a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Espinaca Bolsa,$1.890,$ Precio x Kg : $9.450,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/7879a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Diente de Dragón,Diente de Dragón,$950,$ Precio x Kg : $3.800,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328236a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Frozen Valley,Torta Cookies And Cream Con Galleta Oreo,$7.990,$ Precio x Un : $7.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/996710a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Repollo Blanco 300 g,$1.490,$ Precio x Kg : $4.967,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/325808a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Ensalada Cuatro Colores 500 g,$1.190,$ Precio x Kg : $2.380,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997571a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Hasbro Gaming,Juego de Mesa Gestos,$16.990,$ Precio x Un : $16.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/731695a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Ensalada Lechuga Escarola,$1.290,$ Precio x Kg : $4.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/957913a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Ensalada Apio Varitas,$1.890,$ Precio x Kg : $6.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/957979a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Hasbro Gaming,Jenga,$9.990,$ Precio x Un : $9.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/289901a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Athletic Works,Colchoneta Foldeable Negro,$9.990,$ Precio x Un : $9.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/883438a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Costa,Chocolate Costa Bombon Rolls Crocante,$1.000,$ Precio x Kg : $7.143,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/998066a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Espinaca,Espinaca Baby Pote,$2.750,$ Precio x Kg : $19.643,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/484803a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mattel Games,Scrabble Junior,$10.990,$ Precio x Un : $10.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/686525a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Hasbro Gaming,Cubo Rubiks,$9.990,$ Precio x Un : $9.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/713407a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Imagi Kidz,Set Contrucción Madera,$11.990,$ Precio x Un : $0,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/647782a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Costa,Mono Rolls,$1.000,$ Precio x Kg : $4.348,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/862005a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Alondra,Piedra Pome Escobilla sin Mango,$1.550,$ Precio x Un : $1.550,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/281587a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pontevedra,Salsa de tomate Pronto Pasta,$790,$ Precio x Kg : $2.324,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1020517a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pontevedra,Salsa de tomate Mediterranea,$790,$ Precio x Kg : $2.324,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1020513a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pontevedra,Salsa de tomate Pronto Pizza,$790,$ Precio x Kg : $2.324,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1021109a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pontevedra,Puré de Tomate,$790,$ Precio x Kg : $1.519,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1020511a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
